ID,category,launched
1000256230,Software,2017-06-02 12:20:21
1000551777,Software,2015-08-17 15:37:03
1000776914,Software,2012-11-29 13:54:50
100114978,Software,2015-05-13 13:20:01
1002211518,Software,2014-10-04 02:46:26
1002770238,Software,2017-02-11 00:19:44
1005063605,3D Printing,2014-08-11 17:03:52
1005423973,3D Printing,2015-05-12 09:42:41
1006106331,Software,2010-02-07 18:41:02
1007545243,Software,2016-09-16 15:23:43
1009041597,3D Printing,2014-09-23 19:54:00
1009210646,Software,2014-10-10 23:50:02
1009359658,Software,2014-01-24 19:15:39
1009639152,Software,2015-08-12 01:45:40
1009809110,Software,2013-11-05 20:21:09
1010458159,Software,2011-02-03 20:47:13
1010599206,Software,2016-09-12 17:31:45
1010643909,Software,2015-07-14 00:01:38
101082624,3D Printing,2015-09-09 21:28:51
1010876444,Software,2016-09-02 15:27:07
1011724893,Software,2012-09-06 00:23:28
1012438241,Robots,2016-12-16 02:48:46
1012487499,3D Printing,2015-07-16 17:31:45
1013007973,Robots,2014-10-21 22:39:36
1013245029,Software,2015-12-08 23:06:48
1013783768,Software,2014-09-16 21:32:36
1014836520,Robots,2014-10-24 21:59:13
1015381354,3D Printing,2015-08-06 17:32:15
1015429625,3D Printing,2016-02-16 17:27:18
101565627,Robots,2014-10-30 19:32:39
1015743282,Software,2015-05-07 21:55:28
1015810074,Software,2016-11-09 16:56:06
101594255,Software,2017-07-12 17:02:02
1015945200,Software,2014-07-16 01:53:18
1016002984,Software,2016-11-18 01:53:43
1016620462,Software,2017-02-21 18:04:33
1017257432,Robots,2017-08-10 02:13:11
1018300212,Software,2017-07-28 20:36:31
101909427,Robots,2014-11-17 20:12:54
1019270278,Robots,2017-04-20 16:00:10
1019756278,Software,2016-06-09 22:21:04
1019770517,Robots,2016-02-04 22:55:04
1020324581,Software,2015-05-12 08:22:43
1020566690,Software,2015-02-07 01:54:46
102057914,Robots,2015-07-17 01:10:39
1020928451,Software,2009-06-08 09:22:38
1020957507,Software,2014-05-15 10:00:35
1021063280,Software,2014-11-13 00:36:22
1021426548,3D Printing,2014-10-24 02:55:21
1021453299,Software,2015-09-18 13:07:05
1021487405,Robots,2015-11-10 16:57:35
1021504282,Software,2016-12-06 19:57:16
1021881749,Software,2016-12-29 18:29:04
1021963839,Software,2015-03-03 00:20:34
1022185493,3D Printing,2015-12-29 17:47:36
1022212406,3D Printing,2017-03-31 03:03:32
1022264754,Software,2014-07-29 03:59:50
1022534317,Robots,2015-01-27 23:33:28
1023252802,Software,2017-03-21 20:58:35
1023570729,Software,2013-06-25 14:20:59
102363843,Robots,2014-12-06 03:46:17
1024116205,Software,2016-12-09 16:48:37
1024321283,3D Printing,2015-06-15 11:56:55
1025701043,3D Printing,2013-09-20 23:21:14
1025731988,Robots,2014-10-05 20:04:52
1026241268,Software,2014-05-02 06:36:47
1026651481,Software,2012-10-19 04:13:06
1027002147,3D Printing,2014-08-11 23:49:13
1027263169,Software,2016-05-25 15:25:48
1027590221,Software,2016-05-20 23:27:42
1028957908,Robots,2017-07-11 00:45:40
1029088354,Software,2016-07-05 16:50:40
1029277178,Robots,2014-07-22 20:22:18
1029481185,Software,2016-11-21 14:35:37
1029980241,Software,2012-06-26 01:02:25
1030411402,Software,2016-11-29 06:05:09
1030590373,Software,2017-01-25 00:32:57
103166051,3D Printing,2015-05-17 01:21:13
1032165893,Robots,2017-08-11 18:10:26
1032488007,Software,2017-02-13 20:35:56
1033368704,Robots,2015-06-04 08:46:54
1034219582,3D Printing,2016-06-03 21:39:58
1034248881,Software,2015-04-20 17:00:15
1034257523,3D Printing,2015-08-01 16:01:19
103459373,Software,2012-01-11 23:29:33
1034654196,Software,2017-02-22 17:09:25
1035279774,Robots,2016-05-14 22:50:36
1035566636,Software,2015-07-31 17:23:41
1035731258,Software,2015-01-28 18:57:22
1036815728,Software,2015-05-12 06:25:38
103698569,Software,2015-10-05 03:05:01
1037251811,Software,2015-08-11 08:22:21
1037868940,Software,2016-03-16 16:58:15
1038144341,Software,2017-07-13 03:24:02
1038309030,Software,2016-01-25 15:17:42
1039118481,Software,2011-10-04 00:27:46
103925447,Software,2015-05-19 03:22:43
1039775832,Software,2016-12-09 00:30:03
