ID,main_category,backers,usd_goal_real
1000014025,Food,224,50000.0
1000023410,Food,16,1000.0
100005484,Music,100,12500.0
1000057089,Games,761,6469.73
1000070642,Music,7,250.0
1000072011,Fashion,624,20000.0
1000091520,Comics,66,175.0
1000102741,Music,147,10000.0
1000104688,Film & Video,571,15313.04
1000104953,Comics,27,142.91
100011318,Film & Video,840,50000.0
1000117861,Design,549,1000.0
1000120151,Design,18,1427.35
100012079,Music,92,12000.0
1000131947,Music,157,4000.0
1000132945,Film & Video,213,10000.0
1000146991,Music,277,15000.0
1000153208,Music,34,2100.0
1000160286,Photography,232,15000.0
1000171141,Music,181,10000.0
1000183112,Food,855,40000.0
1000184224,Film & Video,154,8000.0
1000190427,Games,218,3000.0
1000201265,Film & Video,632,60000.0
1000212914,Photography,71,4000.0
1000216800,Film & Video,51,11000.0
1000227361,Film & Video,121,9500.0
1000232288,Games,448,25000.0
1000235643,Food,2784,15000.0
1000252415,Theater,144,15000.0
1000268182,Music,95,4000.0
1000294559,Theater,164,7500.0
1000332383,Film & Video,29,4000.0
1000333671,Music,31,500.0
1000334074,Fashion,36,500.0
1000335422,Comics,153,3759.05
1000348690,Games,346,5938.52
1000354338,Theater,40,2000.0
1000374001,Music,113,10000.0
1000386601,Film & Video,29,1500.0
1000389241,Film & Video,52,3000.0
1000392220,Film & Video,45,2000.0
1000405957,Film & Video,8,500.0
1000413719,Music,14,200.0
1000415969,Publishing,19,1000.0
1000428719,Food,1261,20000.0
1000445513,Fashion,131,5400.0
1000450327,Fashion,25,1750.0
1000454605,Music,41,1000.0
1000465399,Games,491,19500.0
1000490852,Art,121,8000.0
1000519001,Games,624,2000.0
1000524949,Games,36,200.0
1000543883,Art,20,800.0
1000545028,Film & Video,47,8385.04
1000553538,Publishing,49,1400.0
100056789,Publishing,33,3000.0
100057323,Art,53,650.0
10005784,Film & Video,15,1113.98
1000581546,Art,19,2307.48
1000627718,Theater,67,7500.0
1000629643,Technology,561,250000.0
1000648117,Publishing,78,1000.0
100065084,Music,33,1450.0
1000654344,Fashion,750,36000.0
1000707541,Music,36,777.0
1000710630,Publishing,86,7500.0
1000725978,Design,3784,80000.0
1000727191,Music,38,2000.0
1000741180,Film & Video,81,5000.0
1000758916,Music,37,4000.0
1000770149,Publishing,140,8592.68
1000772297,Design,327,5000.0
1000776914,Technology,3080,64074.84
1000781363,Publishing,164,19650.0
1000781512,Film & Video,19,800.0
1000785030,Art,40,275.0
1000788629,Music,69,15000.0
100078996,Technology,24,2658.03
1000811882,Games,107,3913.65
1000823935,Design,120,35000.0
1000844246,Fashion,140,3000.0
1000869383,Comics,47,516.03
1000883509,Theater,105,4000.0
1000885772,Design,85,23164.59
100089599,Fashion,44,3432.57
1000922108,Theater,115,9000.0
1000932522,Games,52,1500.0
1000940032,Games,7,150.0
1000968500,Art,94,3000.0
1000988864,Food,52,2000.0
1000992739,Games,56,750.0
1000997384,Comics,105,2000.0
1001000566,Publishing,26,1500.0
100101389,Food,161,25000.0
1001020080,Dance,21,1200.0
100102338,Design,15,150.0
1001048123,Film & Video,27,1500.0
1001064677,Comics,97,5150.0
1001077166,Technology,57,5000.0
1001086968,Film & Video,383,20000.0
1001087429,Film & Video,36,685.74
1001093391,Film & Video,88,5500.0
1001097057,Art,26,5000.0
1001128468,Photography,30,369.74
1001149306,Publishing,14,350.0
100114978,Technology,184,8711.08
1001159174,Dance,47,1500.0
1001165113,Music,195,10000.0
1001181420,Music,65,10000.0
1001188527,Fashion,7,2250.81
1001228129,Music,52,2200.0
1001230250,Art,55,3000.0
1001243867,Film & Video,19,194.7
1001244864,Film & Video,43,3500.0
1001251896,Art,21,1000.0
1001265769,Technology,2278,25000.0
1001270191,Art,177,10000.0
1001279854,Comics,75,2500.0
1001295591,Publishing,31,2200.0
100130008,Art,23,550.0
1001304256,Crafts,39,175.69
1001328623,Film & Video,42,2500.0
1001338443,Film & Video,17,531.98
1001340544,Art,107,4500.0
1001347176,Journalism,33,1500.0
1001348491,Games,130,7000.0
1001373564,Design,1127,7500.0
1001377540,Theater,53,1971.0
1001423755,Art,85,16038.88
1001432466,Food,17,385.58
1001442355,Games,102,10000.0
1001442379,Games,17,2000.0
100144828,Fashion,51,1750.0
1001484182,Food,172,25000.0
1001498884,Film & Video,17,192.96
1001502333,Technology,5946,200000.0
1001503577,Art,102,4800.0
1001524172,Photography,20,6000.0
1001527526,Film & Video,96,7033.01
1001543887,Food,145,15000.0
1001567779,Design,75,999.0
1001570537,Film & Video,192,15000.0
1001576108,Music,138,7000.0
100158537,Music,80,3103.37
1001591110,Film & Video,665,50000.0
1001650469,Design,207,7000.0
1001685760,Fashion,3,1.0
1001689284,Technology,287,5934.01
100171056,Photography,167,18000.0
1001714289,Film & Video,18,800.0
100173367,Games,1053,19400.0
1001751835,Film & Video,32,12500.0
1001762923,Food,125,2500.0
1001778275,Film & Video,25,500.0
1001780885,Art,118,5500.0
1001787855,Art,26,8103.49
1001814122,Games,182,7500.0
1001817414,Music,54,1000.0
1001820357,Film & Video,148,25000.0
1001823329,Music,145,7500.0
1001838811,Film & Video,20,750.0
1001878319,Dance,63,6000.0
100188605,Photography,61,10000.0
1001892879,Film & Video,14,2500.0
1001904397,Film & Video,116,7500.0
1001916592,Music,14,800.0
1001951313,Design,2789,18000.0
1001981525,Fashion,213,26754.78
1001989065,Comics,149,550.0
1002005884,Film & Video,116,8868.68
1002027893,Food,133,5500.0
1002045558,Film & Video,106,14500.0
1002058532,Technology,27,10000.0
1002071867,Design,244,20000.0
1002089437,Art,76,4000.0
1002109548,Comics,50,800.0
1002117681,Food,160,15000.0
100212057,Art,46,3000.0
100212849,Journalism,27,2500.0
1002131859,Music,152,20.0
1002132537,Music,106,8000.0
1002139381,Publishing,51,2000.0
1002182970,Design,31,500.0
1002208176,Art,32,10000.0
1002234028,Dance,30,3500.0
100224840,Crafts,38,2000.0
1002264833,Film & Video,40,2500.0
1002272545,Games,1258,10200.0
100227845,Publishing,136,16000.0
1002287054,Music,240,2500.0
1002299677,Comics,89,312.48
1002304874,Art,23,500.0
1002308373,Film & Video,60,4000.0
1002355670,Art,58,2300.0
1002363227,Film & Video,43,3250.0
1002371950,Film & Video,40,5000.0
1002382304,Games,622,25000.0
1002400187,Publishing,7,500.0
1002416983,Music,96,2500.0
1002421792,Music,60,3000.0
1002444966,Food,32,2403.42
1002451969,Film & Video,66,5500.0
1002453633,Technology,298,10000.0
1002456171,Games,26,500.0
1002478333,Crafts,1,120.0
1002490303,Film & Video,35,4545.73
1002492289,Technology,236,25000.0
10024998,Music,59,5000.0
1002512911,Film & Video,251,13000.0
1002520944,Music,85,2272.24
1002571103,Music,9,0.91
1002585330,Comics,226,4000.0
1002590077,Theater,8,900.0
1002599863,Technology,88,718.24
1002611685,Art,1711,100000.0
1002617687,Music,694,57000.0
100263139,Design,1822,50000.0
1002633138,Design,264,14000.0
1002646104,Art,141,1296.24
1002651584,Music,37,2000.0
1002664274,Games,942,89999.0
1002684709,Film & Video,65,5000.0
1002692211,Technology,426,25000.0
1002715554,Food,167,14403.62
1002721954,Technology,135,8500.0
1002723323,Publishing,545,10080.0
1002724533,Publishing,62,4399.0
1002728217,Crafts,16,10.0
100275914,Publishing,18,500.0
1002762500,Art,14,1000.0
1002767552,Art,22,750.0
1002772966,Film & Video,138,5000.0
1002777672,Games,1372,30949.21
1002780789,Music,393,40000.0
1002810193,Photography,47,2500.0
1002835689,Music,75,3000.0
1002840021,Music,111,8000.0
1002843911,Games,83,2400.0
1002864290,Music,88,2500.0
1002877175,Music,342,20000.0
1002884058,Food,443,100000.0
1002885178,Film & Video,60,3000.0
1002894446,Art,35,5000.0
1002899845,Music,20,1215.07
1002914380,Theater,6,500.0
1002937987,Technology,91,40000.0
1002939824,Games,706,6784.08
1002944526,Comics,29,1000.0
1002959927,Film & Video,14,700.0
1002965096,Games,126,1000.0
1002985353,Food,107,8000.0
1002997533,Music,35,1200.0
100301891,Film & Video,12,1400.0
1003074363,Film & Video,84,10000.0
1003111955,Technology,12758,30000.0
1003122437,Publishing,42,4444.0
1003155427,Music,18,1000.0
1003165056,Design,660,7500.0
1003169165,Music,66,4500.0
1003182869,Technology,2412,30000.0
1003202814,Games,637,15000.0
1003217096,Art,62,2750.0
1003228594,Publishing,31,4500.0
100324011,Comics,20,50.0
1003249516,Music,84,3500.0
1003259197,Film & Video,48,5000.0
1003346672,Design,156,7770.0
1003362537,Design,44,5000.0
1003413796,Music,242,10000.0
1003424923,Film & Video,28,4000.0
100343348,Publishing,41,3000.0
1003434687,Fashion,30,2396.96
1003436789,Music,9,1000.0
1003442902,Dance,24,850.0
1003449040,Film & Video,76,10000.0
10034684,Art,11,520.0
1003478705,Food,43,10000.0
1003480324,Games,1631,38000.0
1003481542,Technology,292,20000.0
1003481744,Technology,1052,50000.0
1003500295,Photography,38,2449.87
1003523496,Film & Video,47,5000.0
1003525413,Games,301,20888.23
1003533888,Food,285,9500.0
1003538517,Journalism,228,10941.04
1003539829,Film & Video,411,40000.0
1003561611,Technology,164,9000.0
1003570206,Comics,84,1509.6
1003583457,Theater,8,250.0
100358406,Film & Video,267,40000.0
1003596506,Music,30,1800.0
1003666946,Film & Video,21,1487.54
1003674692,Games,216,4096.89
1003677068,Games,603,27000.0
1003708660,Art,249,15000.0
1003709180,Art,30,2000.0
1003761602,Publishing,76,3000.0
1003769496,Games,2108,32978.27
1003770739,Film & Video,91,10000.0
1003775790,Music,24,5000.0
1003794504,Comics,36,1000.0
100379732,Art,37,600.0
1003801298,Art,11,700.0
1003804552,Food,53,10000.0
1003813966,Games,24,60.0
1003830843,Games,25,450.0
1003856570,Design,56,2000.0
1003865949,Art,43,1400.0
1003886618,Design,70,4040.0
1003901425,Film & Video,12,550.0
1003933374,Art,63,3500.0
1003938077,Music,59,2200.0
1003946946,Technology,463,2500.0
100395799,Film & Video,59,1749.48
100396408,Comics,516,9000.0
1003983201,Theater,17,844.34
1004015081,Games,1516,10000.0
10040833,Design,215,2000.0
1004098791,Fashion,85,6000.0
1004112120,Journalism,616,9611.23
1004125151,Film & Video,74,2000.0
1004152737,Games,78,5465.02
1004189486,Design,600,43000.0
1004192678,Fashion,77,2000.0
1004203496,Games,2140,10000.0
1004211205,Music,43,5000.0
1004218067,Art,18,250.0
1004220332,Dance,97,5000.0
1004275497,Music,21,412.23
1004307461,Design,4,259.59
1004317441,Publishing,111,4500.0
100433895,Music,73,2500.0
1004339642,Design,181,31957.87
1004356539,Music,348,15000.0
100437007,Film & Video,28,1039.35
1004377000,Photography,60,2288.61
1004379805,Photography,14,700.0
100438743,Theater,71,2500.0
1004399460,Music,20,25.0
1004405723,Film & Video,439,30000.0
1004473432,Film & Video,116,6500.0
1004480789,Music,66,5000.0
1004493837,Art,99,7500.0
1004500333,Technology,172,5000.0
1004506986,Art,84,500.0
100455559,Art,51,1000.0
1004559427,Art,4,1300.0
1004560254,Games,93,1750.0
1004598628,Photography,127,6000.0
100459984,Publishing,42,1500.0
1004619032,Film & Video,106,10000.0
1004621325,Games,3527,15000.0
1004637630,Comics,27,2523.85
1004641424,Design,530,7000.0
100464296,Technology,145,30580.56
1004649506,Games,2256,100000.0
1004666737,Film & Video,42,1450.0
1004668657,Design,5149,500000.0
1004671876,Art,67,2000.0
1004686676,Technology,405,20000.0
1004687584,Food,117,30000.0
1004696424,Music,17,500.0
1004727949,Music,57,2500.0
1004760459,Film & Video,122,9154.16
1004781384,Theater,56,3000.0
1004783664,Photography,43,2000.0
1004784584,Music,20,1000.0
1004814701,Food,42,1000.0
1004817817,Art,28,999.0
1004830984,Design,1180,77295.68
100483818,Publishing,79,5000.0
1004846489,Music,21,4000.0
1004871321,Film & Video,117,15000.0
1004911835,Games,86,666.35
1004921259,Fashion,103,20000.0
1004979544,Fashion,44,500.0
1004988635,Games,25,259.61
1004990910,Publishing,56,11092.99
1004999687,Fashion,296,20000.0
1005008262,Design,775,20000.0
1005009188,Music,16,2000.0
1005018489,Fashion,79,22720.04
1005027414,Design,43,500.0
1005030157,Music,13,1.0
1005063605,Technology,290,25000.0
1005072752,Design,34,3969.51
1005080604,Film & Video,37,1600.0
1005103612,Design,115,10000.0
1005125521,Games,139,18312.22
1005136256,Music,70,6000.0
100513718,Games,547,5363.85
1005155704,Design,854,100000.0
1005163765,Dance,261,14000.0
1005181228,Film & Video,25,1898.93
1005205097,Dance,97,2223.0
100520530,Food,75,28000.0
100520798,Design,53,8000.0
1005217119,Music,32,850.0
1005217515,Theater,30,3600.0
1005235197,Journalism,40,2000.0
1005236469,Publishing,139,5000.0
1005240050,Music,78,14000.0
1005247768,Publishing,111,2000.0
1005251354,Art,51,3000.0
1005260657,Film & Video,118,5000.0
1005272778,Film & Video,39,5800.0
1005276297,Fashion,5,200.0
1005292230,Games,99,1000.0
1005300534,Music,82,2100.0
1005313842,Film & Video,245,10000.0
1005349963,Publishing,136,2000.0
1005351933,Design,42,1250.0
1005359971,Music,32,2000.0
1005361089,Music,68,5000.0
1005383742,Dance,97,25000.0
1005395063,Music,94,2956.17
1005400392,Theater,30,2700.0
1005423973,Technology,149,33659.83
1005482513,Publishing,17,2000.0
1005488729,Theater,67,10000.0
100551656,Theater,17,1000.0
1005519605,Art,81,4690.43
100555757,Games,1447,7500.0
1005574462,Publishing,54,800.0
100558945,Music,14,667.68
1005617151,Games,1588,20000.0
1005657932,Publishing,88,4000.0
1005692400,Publishing,252,10000.0
1005696498,Music,15,3000.0
1005696636,Music,22,1200.0
1005701123,Food,2,10.0
1005731433,Music,21,4142.98
1005756530,Film & Video,33,5000.0
100576591,Music,51,3500.0
1005800160,Art,21,3000.0
1005829490,Music,16,1193.13
1005848496,Technology,565,25000.0
1005862247,Photography,87,5000.0
1005889641,Design,286,790.98
1005940775,Film & Video,78,10000.0
1005948073,Fashion,108,1250.0
1005949551,Photography,103,2767.61
1005958623,Crafts,8,5.0
1005979441,Games,2485,5000.0
1005987521,Art,138,9000.0
1006008989,Games,8351,240280.65
1006030031,Music,40,1200.0
1006042643,Art,3,75.0
1006061306,Film & Video,76,5000.0
1006075060,Theater,34,999.44
100608193,Design,829,30000.0
100609913,Food,193,8321.96
1006111903,Games,37,1000.0
1006139757,Comics,22,400.0
1006177892,Film & Video,148,7500.0
1006194922,Design,267,1000.0
100620160,Games,157,12277.77
1006207268,Music,16,600.0
1006213538,Food,87,5339.03
1006243575,Games,391,1500.0
1006244792,Music,97,15000.0
1006335039,Music,43,1000.0
1006346512,Film & Video,64,2500.0
100635918,Technology,1068,55839.72
1006390923,Film & Video,38,5950.0
1006427820,Music,26,2500.0
1006429259,Design,121,7500.0
1006466755,Art,57,3000.0
1006476938,Theater,46,2500.0
10064783,Food,200,8000.0
1006492574,Games,97,3923.97
1006507504,Fashion,89,761.71
1006519656,Games,563,24051.18
1006522756,Theater,27,1883.51
1006567596,Film & Video,44,25000.0
1006597254,Film & Video,98,5375.01
1006607395,Film & Video,36,1000.0
1006614415,Dance,33,3100.0
1006623404,Film & Video,171,15000.0
1006663687,Music,101,2750.0
1006675756,Art,14,600.0
1006679476,Dance,104,6000.0
1006696072,Design,7,450.0
1006737628,Art,7,500.0
100675027,Music,148,15000.0
1006762726,Film & Video,80,5500.0
1006763072,Film & Video,46,3500.0
1006769193,Film & Video,43,11000.0
1006862039,Comics,59,1127.57
1006866696,Games,966,1500.0
1006879706,Film & Video,19,1000.0
1006881955,Film & Video,160,20000.0
1006885199,Design,168,25000.0
1006885357,Games,359,10000.0
1006906467,Dance,9,300.0
1006925601,Film & Video,43,3000.0
1006927409,Fashion,38,3647.82
1006946922,Art,61,100.0
1007002522,Comics,100,4500.0
1007013670,Crafts,31,2500.0
100701747,Film & Video,26,3000.0
1007034926,Art,7,106.61
1007045506,Film & Video,264,7000.0
100705658,Food,65,14500.0
1007087321,Design,58,2886.46
1007098692,Music,7,100.0
10071048,Film & Video,255,14657.38
100710934,Music,136,12000.0
1007127395,Crafts,21,275.0
1007160049,Games,122,3268.99
100716183,Games,53,1750.0
1007173468,Technology,84,3000.0
1007181717,Comics,1588,30000.0
1007184915,Fashion,110,5500.0
1007186692,Music,114,10000.0
